-21,-0.0003636363636363440
-19,0.0007272727272727430
-17,0.0018181818181818300
-15,0.0040000000000000000
-13,0.009090909090909090
-11,0.015272727272727300
-9,0.024363636363636400
-7,0.034181818181818200
-5,0.04000000000000000
-3,0.048727272727272700
-1,0.049090909090909100
1,0.05127272727272730
3,0.048000000000000000
5,0.04436363636363640
7,0.03672727272727280
9,0.029454545454545500
11,0.02145454545454550
12,0.015636363636363600
15,0.010545454545454600
17,0.00545454545454549
19,0.0032727272727272900
21,0.0029090909090909200
23,0.00036363636363637200
25,0.00036363636363637200
27,0